grant_id,opportunity_title,faculty_id,name,domain_score,llm_score,reason
ca108e77-69f6-4d3a-9723-a1353076a4ad,"Advancing Bioinformatics, Translational Bioinformatics and Computational Biology Research (R01 Clinical Trial Optional)",13,Tim Alcon,0.9999570250511169,0.78,"The domains align strongly via bioinformatics/computational biology and healthcare, though the faculty profile lacks explicit emphasis on machine learning. The stated specializations are broad (biological data analysis) and reinforce general fit, but do not clearly match the grant’s focus on multi-omics integration, scalable platforms, and translational/clinical decision-support pipelines."
2a6a95f6-61e3-434f-9ec7-2f615e327b4b,Emerging Mathematics in Biology,13,Tim Alcon,0.7949724197387695,0.72,"There is meaningful overlap through computational biology/bioinformatics, which can support biological modeling and potentially AI-driven, interpretable prediction relevant to public health. However, the grant emphasizes mathematical theory and multiscale dynamical modeling, while the faculty profile is framed more as data analysis and computer science education, weakening the specialization-level fit."
150c6b5c-58b7-4f36-b4ea-177341a92b2c,Biosensing,13,Tim Alcon,0.9999406337738037,0.66,"The match is moderate: the faculty’s bioinformatics/computational biology and healthcare background aligns with the grant’s artificial intelligence and healthcare/public health components, especially for AI-assisted biosensor data analysis. However, their stated specializations do not directly cover biosensor engineering or synthetic biology (cell-free/cell-based sensing circuits), which weakens alignment with most grant technical thrusts."
3a5aa6a1-c4ed-4907-8758-5bba1be09394,Science of Learning and Augmented Intelligence (SL),13,Tim Alcon,0.9999750852584839,0.63,"The domains align at a moderate level through shared interests in education and technology/AI-relevant computational approaches, but the faculty’s primary areas (computer science education, computational biology, and bioinformatics) do not directly target the grant’s core focus on cognitive/neural mechanisms of learning, transfer, and human-AI collaboration. The match strengthens only insofar as the faculty work includes adaptive learning/ed-tech or AI-driven instructional systems, which is not explicit from the listed specializations."
25d22ed0-f1fe-4c46-a5b6-0ab60a464f00,Collaboratory to Advance Mathematics Education and Learning (CAMEL) for K-12,13,Tim Alcon,0.9999604225158691,0.62,"The domains align well via education and computer science, which fit the grant’s learning sciences/AI-in-education emphasis. However, the faculty specializations are primarily computer science education and bioinformatics rather than K–12 math learning analytics, measurement, or district-scale intervention research, so the match is moderate rather than strong."
077770e0-41ee-4340-89c7-e720c8892ae9,Research in the Formation of Engineers,13,Tim Alcon,0.9999706149101257,0.56,"There is a meaningful overlap via the shared focus on education, but the grant is specifically centered on engineering education ecosystems, identity/formation, equity, workforce pathways, and sustainability. The faculty member’s specializations (computer science education, bioinformatics/computational biology) only partially reinforce this, unless their CS education work explicitly targets engineering education contexts, workforce formation, or sustainability-related curricula."
54f77fd7-7117-4d57-b433-20c3fd323434,Interdisciplinary Research to Understand the Complex Biology of Resilience to Alzheimer’s and Related Dementias Disease Risk,13,Tim Alcon,1.0000001192092896,0.55,"There is partial domain alignment via healthcare and computational/bioinformatics foundations that could support genomics/ML-style analyses, but the faculty domains do not explicitly cover neuroscience, aging, or dementia. The faculty specializations are broad (computational biology/bioinformatics) and lack clear focus on multimodal biomarker discovery, longitudinal modeling, or AD/ADRD resilience, weakening the match to the grant’s specific aims."
8901ffb6-363f-475c-a8e5-899c2d1fbdf1,NIDCR Research Grants for Analyses of Existing Genomics Data (R01) (Clinical Trial Not Allowed),13,Tim Alcon,1.0000001192092896,0.55,"The domains partially align through bioinformatics and healthcare, but the faculty profile lacks explicit genomics/machine learning/public health emphasis central to the grant. The specializations are broad (computational biology/bioinformatics) and do not specifically indicate oral/craniofacial genomics, multi-omics integration, or variant/pathway-focused methods, weakening the match."
a518002e-a4c4-4bbd-9b62-aeb05f8288f7,NIDCR Small Research Grants for Analyses of Existing Genomics Data (R03 Clinical Trial Not Allowed),13,Tim Alcon,1.0000001192092896,0.52,"The domains align well at the computational genomics/bioinformatics interface (bioinformatics, machine learning, healthcare), but the faculty profile is broad and does not explicitly emphasize human genomics, statistical genetics, or oral/dental genomics central to the grant. The specializations in computational biology and bioinformatics support general fit, while the lack of demonstrated focus on multi-omics integration, variant interpretation, and oral health applications weakens the match."
b19c89bb-baf4-4121-a24f-28891f9b1111,Novel Approaches to Advance Precision Aging and Cognitive Health,13,Tim Alcon,0.9999657869338989,0.46,"There is partial domain alignment through healthcare and computational methods, but the faculty profile is centered on computer science education and general computational biology/bioinformatics rather than aging, gerontology, cognitive health, or ML-driven longitudinal risk stratification. The specializations therefore weaken the match to the grant’s targeted AI/ML for aging and cognitive decline applications."
2e37b591-e1cc-4d6a-a223-ff0c0962f74a,Illuminating AD/ADRD Genome to Enable Precision Genomic Medicine,13,Tim Alcon,1.0000001192092896,0.45,"There is partial domain alignment via bioinformatics and healthcare, but the grant is specifically focused on genomics-driven AD/ADRD neurodegeneration mechanisms and translational target/biomarker discovery. The faculty specializations are broad (computational biology/bioinformatics) and include computer science education, which does not directly reinforce the grant’s neuroscience- and neurogenomics-specific aims."
b39b2236-74f2-466c-875e-8a226a78968c,"Mind, Machine and Motor Nexus",13,Tim Alcon,0.9999604821205139,0.25,"Despite a high initial domain score, the grant focuses on robotics/HCI/AI for human-machine teaming in dynamic physical environments, while the faculty’s domains and specializations center on bioinformatics/computational biology and computer science education. The specializations do not reinforce the grant’s core areas (human-robot interaction, physics-based simulation, safety-constrained teaming), yielding only weak alignment via general CS/healthcare overlap."
131fabad-5506-431b-b87a-e564f1d8dcc4,Research Grants in Clinical Informatics (R01 Clinical Trial Optional),13,Tim Alcon,0.9999659061431885,0.25,"While the faculty member has a domain overlap via computer science and healthcare, their listed specializations (computer science education, computational biology, and bioinformatics for biological data analysis) do not meaningfully align with the grant’s focus on clinical informatics, EHR-based machine learning/NLP, and scalable clinical data pipelines. The specialization mismatch weakens the fit despite the broad domain similarity."
508e8ee7-6925-4593-a548-66578974572f,Mathematical Foundations of Artificial Intelligence,13,Tim Alcon,1.0000001192092896,0.22,"There is partial domain overlap via computer science and healthcare, but the grant is tightly focused on mathematical/statistical theory and rigorous guarantees for AI/foundation models. The faculty specializations (CS education, computational biology, bioinformatics data analysis) do not directly match the grant’s core theoretical ML and trustworthy AI validation themes, weakening the alignment."
94d31f26-eb6c-4997-a666-756a4f4ed386,Fire Science Innovations through Research and Education,13,Tim Alcon,0.6819896101951599,0.22,"There is only a partial domain-level overlap via computational modeling/computer science, but the faculty’s stated domains (bioinformatics, education, healthcare) do not directly align with wildfire/fire science, disaster management, infrastructure, or community resilience. The specializations focus on CS education and computational biology rather than wildfire modeling, risk governance, or WUI/infrastructure applications, which weakens the match."
c08bbf7a-563b-4af4-a79b-b1cb7bdd71ad,Rehabilitation Engineering Research Centers (RERC) Program: RERC on AI-Driven Assistive and Rehabilitation Technologies,13,Tim Alcon,0.9999604821205139,0.22,"While there is superficial domain overlap via computer science and healthcare, the grant is specifically focused on AI/ML for assistive and rehabilitation technologies, user modeling, and adaptive device control. The faculty’s specializations in computer science education and bioinformatics/computational biology do not directly support rehabilitation engineering or assistive technology personalization, weakening the match."
0d1c69f4-92c1-4a6b-bf70-2132c6f764ac,UNITED STATES MILITARY ACADEMY Broad Agency Announcement,13,Tim Alcon,0.7458677887916565,0.22,"While there is partial domain overlap through computer science/AI methods, the faculty’s focus on computer science education and bioinformatics/computational biology does not meaningfully align with the grant’s defense-oriented AI/robotics, cybersecurity, and infrastructure specializations. The lack of work in autonomous systems, cyber defense, sensing/diagnostics, or defense materials weakens the match substantially."
53a03767-1e1c-416f-bfde-44b5ba74add8,Integrating Machine Learning with Computational Fluid Dynamics Models of Orally Inhaled Drug Products (U01) Clinical Trials Not Allowed,13,Tim Alcon,1.0000001192092896,0.22,"The overlap is mainly at a broad level (machine learning/healthcare), but the grant is tightly focused on CFD-driven inhaler/aerosol transport modeling for OIDPs and regulatory bioequivalence, which is not reflected in the faculty’s stated specializations. The faculty’s bioinformatics/computational biology background could transfer some ML skills, but the lack of CFD, pharmaceutics, or inhaler-specific modeling significantly weakens the match."
